IF set: {'37'}  THEN set: {'1'}  CONFIDENCE: 0.9362745098039216
IF set: {'92', '39', '38', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9829545454545454
IF set: {'39', '38', '33', '14'}  THEN set: {'92', '48'}  CONFIDENCE: 0.8673469387755102
IF set: {'92', '39', '33', '14'}  THEN set: {'48', '38'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '38', '92', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9826589595375722
IF set: {'48', '38', '39', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9444444444444444
IF set: {'38', '92', '39', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9659090909090909
IF set: {'48', '38', '92', '39', '33'}  THEN set: {'14'}  CONFIDENCE: 0.9826589595375722
IF set: {'48', '92', '39', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9497206703910615
IF set: {'60', '39', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '38', '60', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '38', '60', '39', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '60', '39', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '33', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'86', '23', '33'}  THEN set: {'38'}  CONFIDENCE: 0.9771428571428571
IF set: {'86', '23', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 0.967032967032967
IF set: {'39', '23', '33', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'39', '86', '23', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0292397660818713
IF set: {'38', '23', '33', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '86', '23', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'86', '38', '33', '14'}  THEN set: {'23'}  CONFIDENCE: 0.8221153846153846
IF set: {'86', '33', '36'}  THEN set: {'39', '14'}  CONFIDENCE: 0.9885714285714285
IF set: {'86', '33', '36', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9611111111111111
IF set: {'39', '33', '36', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'39', '86', '33', '36'}  THEN set: {'14'}  CONFIDENCE: 0.9664804469273743
IF set: {'60', '86', '33'}  THEN set: {'92'}  CONFIDENCE: 0.8686868686868687
IF set: {'60', '86', '38', '33'}  THEN set: {'92'}  CONFIDENCE: 0.8636363636363636
IF set: {'92', '86', '38', '33'}  THEN set: {'60'}  CONFIDENCE: 0.9715909090909091
IF set: {'60', '86', '33', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'60', '86', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.8686868686868687
IF set: {'38', '60', '86', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.8636363636363636
IF set: {'38', '60', '33', '14', '92'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '60', '86', '33', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'38', '92', '86', '33', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9715909090909091
IF set: {'60', '86', '33', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '86', '23', '33'}  THEN set: {'39'}  CONFIDENCE: 0.9771428571428571
IF set: {'48', '39', '23', '33'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'48', '33', '36'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'60', '48', '86', '33'}  THEN set: {'92'}  CONFIDENCE: 0.9941860465116279
IF set: {'60', '48', '33', '92'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'48', '86', '38', '33'}  THEN set: {'92'}  CONFIDENCE: 0.9611111111111111
IF set: {'48', '38', '86', '33', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9611111111111111
IF set: {'48', '38', '92', '86', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '92', '86', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9664804469273743
IF set: {'48', '38', '60', '86', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '60', '86', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '86', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'38', '60', '39', '86', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '38', '39', '86', '33'}  THEN set: {'60'}  CONFIDENCE: 0.9555555555555556
IF set: {'48', '60', '39', '86', '33'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '92', '39', '86', '33'}  THEN set: {'48'}  CONFIDENCE: 0.9829545454545454
IF set: {'92', '39', '86', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9623655913978495
IF set: {'60', '39', '86', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'38', '39', '86', '33', '14'}  THEN set: {'60', '48'}  CONFIDENCE: 0.8775510204081632
IF set: {'48', '38', '60', '86', '33', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '38', '60', '39', '33', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '86', '33', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '38', '60', '39', '86', '33'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '38', '39', '86', '33', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9555555555555556
IF set: {'48', '60', '39', '86', '33', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '33', '92'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'60', '39', '86', '33', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9941860465116279
IF set: {'60', '39', '33', '14', '92'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'93'}  THEN set: {'38'}  CONFIDENCE: 0.6500994035785288
IF set: {'93', '14'}  THEN set: {'92'}  CONFIDENCE: 1.0
IF set: {'92', '93'}  THEN set: {'14'}  CONFIDENCE: 0.7489177489177489
IF set: {'38', '93'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '93'}  THEN set: {'38'}  CONFIDENCE: 0.9069148936170213
IF set: {'39', '93'}  THEN set: {'92', '48'}  CONFIDENCE: 1.1237458193979932
IF set: {'48', '39', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9333333333333333
IF set: {'92', '48', '93'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'92', '39', '93'}  THEN set: {'48'}  CONFIDENCE: 1.2129963898916967
IF set: {'93', '48', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9559228650137741
IF set: {'93', '39', '14'}  THEN set: {'48'}  CONFIDENCE: 1.2006920415224913
IF set: {'86', '93'}  THEN set: {'38'}  CONFIDENCE: 0.868632707774799
IF set: {'93', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.930635838150289
IF set: {'92', '86', '14'}  THEN set: {'93'}  CONFIDENCE: 0.6544715447154471
IF set: {'93', '14', '92'}  THEN set: {'86'}  CONFIDENCE: 0.930635838150289
IF set: {'92', '86', '93'}  THEN set: {'14'}  CONFIDENCE: 0.9554896142433235
IF set: {'92', '86'}  THEN set: {'93'}  CONFIDENCE: 0.658203125
IF set: {'48', '86'}  THEN set: {'92', '93'}  CONFIDENCE: 0.6834381551362684
IF set: {'48', '86', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9055555555555556
IF set: {'92', '48', '86'}  THEN set: {'93'}  CONFIDENCE: 0.8109452736318408
IF set: {'48', '86', '14'}  THEN set: {'93'}  CONFIDENCE: 0.7620087336244541
IF set: {'39', '86', '93'}  THEN set: {'92', '48'}  CONFIDENCE: 0.9030470914127424
IF set: {'39', '48', '86'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7276785714285714
IF set: {'92', '48', '86', '93'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'39', '48', '86', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9340974212034384
IF set: {'92', '48', '39', '93'}  THEN set: {'86'}  CONFIDENCE: 0.9702380952380952
IF set: {'92', '39', '86', '93'}  THEN set: {'48'}  CONFIDENCE: 0.9673590504451038
IF set: {'39', '48', '86', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8109452736318408
IF set: {'93', '48', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9684813753581661
IF set: {'93', '48', '39', '14'}  THEN set: {'86'}  CONFIDENCE: 0.9740634005763689
IF set: {'93', '39', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.976878612716763
IF set: {'39', '48', '86', '14'}  THEN set: {'93'}  CONFIDENCE: 0.7824074074074074
IF set: {'92', '39', '86'}  THEN set: {'93'}  CONFIDENCE: 0.658203125
IF set: {'86', '38', '93'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'39', '38', '93'}  THEN set: {'86'}  CONFIDENCE: 1.1911764705882353
IF set: {'14'}  THEN set: {'38'}  CONFIDENCE: 0.8536853685368537
IF set: {'38'}  THEN set: {'14'}  CONFIDENCE: 0.8317256162915327
IF set: {'48'}  THEN set: {'92'}  CONFIDENCE: 0.6784313725490196
IF set: {'48', '39'}  THEN set: {'92'}  CONFIDENCE: 0.8418491484184915
IF set: {'92', '48'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'92', '39'}  THEN set: {'48'}  CONFIDENCE: 0.6940822467402207
IF set: {'48', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'39'}  THEN set: {'92'}  CONFIDENCE: 0.715721464465183
IF set: {'86'}  THEN set: {'38'}  CONFIDENCE: 0.8707403055229143
IF set: {'39', '86'}  THEN set: {'48', '14'}  CONFIDENCE: 0.6525679758308157
IF set: {'48', '39', '14'}  THEN set: {'86'}  CONFIDENCE: 0.7047308319738989
IF set: {'39', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6912
IF set: {'86', '14'}  THEN set: {'39'}  CONFIDENCE: 0.7822277847309136
IF set: {'86', '38'}  THEN set: {'39'}  CONFIDENCE: 0.7975708502024291
IF set: {'23'}  THEN set: {'60'}  CONFIDENCE: 0.9211502782931354
IF set: {'38', '23'}  THEN set: {'60'}  CONFIDENCE: 0.9650872817955112
IF set: {'39', '23'}  THEN set: {'38'}  CONFIDENCE: 0.9967532467532467
IF set: {'23', '14'}  THEN set: {'39'}  CONFIDENCE: 0.7905759162303665
IF set: {'36', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'39', '36'}  THEN set: {'14'}  CONFIDENCE: 0.6932907348242812
IF set: {'36'}  THEN set: {'39'}  CONFIDENCE: 0.7799003322259136
IF set: {'60', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'92', '38'}  THEN set: {'60'}  CONFIDENCE: 0.7890295358649789
IF set: {'92', '14'}  THEN set: {'60'}  CONFIDENCE: 0.7076631977294229
IF set: {'60', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '38', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '38', '14'}  THEN set: {'60'}  CONFIDENCE: 0.7890295358649789
IF set: {'60', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '38'}  THEN set: {'14'}  CONFIDENCE: 0.8218988218988219
IF set: {'38', '14'}  THEN set: {'60'}  CONFIDENCE: 0.7641752577319587
IF set: {'48', '23'}  THEN set: {'14'}  CONFIDENCE: 0.9736842105263158
IF set: {'60', '48'}  THEN set: {'92'}  CONFIDENCE: 1.0
IF set: {'48', '38'}  THEN set: {'92'}  CONFIDENCE: 1.0
IF set: {'48', '38', '14'}  THEN set: {'92'}  CONFIDENCE: 1.0
IF set: {'92', '48', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9445350734094616
IF set: {'92', '48', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '48', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '48', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '48', '39'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'48', '39', '38'}  THEN set: {'60'}  CONFIDENCE: 0.8549222797927462
IF set: {'92', '48', '39'}  THEN set: {'38'}  CONFIDENCE: 0.8367052023121387
IF set: {'92', '39', '38'}  THEN set: {'48'}  CONFIDENCE: 0.7148148148148148
IF set: {'92', '39', '14'}  THEN set: {'48', '38'}  CONFIDENCE: 0.6803760282021152
IF set: {'92', '48', '38', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '39', '38', '14'}  THEN set: {'92'}  CONFIDENCE: 1.0
IF set: {'92', '39', '38', '14'}  THEN set: {'48'}  CONFIDENCE: 0.7148148148148148
IF set: {'92', '48', '39', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '48', '39', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9445350734094616
IF set: {'60', '48', '38', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'60', '48', '39', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '48', '39', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'39', '38'}  THEN set: {'60'}  CONFIDENCE: 0.7903682719546742
IF set: {'39', '14'}  THEN set: {'92', '38'}  CONFIDENCE: 0.7251566696508505
IF set: {'39', '38', '14'}  THEN set: {'92'}  CONFIDENCE: 0.7648725212464589
IF set: {'60', '38', '14'}  THEN set: {'39'}  CONFIDENCE: 0.7057335581787522
IF set: {'60', '39', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '39', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'86', '23'}  THEN set: {'38'}  CONFIDENCE: 0.914179104477612
IF set: {'86', '23', '14'}  THEN set: {'39'}  CONFIDENCE: 0.8778625954198473
IF set: {'39', '23', '14'}  THEN set: {'86'}  CONFIDENCE: 1.5231788079470199
IF set: {'39', '86', '23'}  THEN set: {'14'}  CONFIDENCE: 0.9745762711864406
IF set: {'86', '38', '14'}  THEN set: {'23'}  CONFIDENCE: 0.6612685560053981
IF set: {'38', '23', '14'}  THEN set: {'86'}  CONFIDENCE: 1.320754716981132
IF set: {'38', '86', '23'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'86', '36'}  THEN set: {'39', '14'}  CONFIDENCE: 0.940379403794038
IF set: {'86', '36', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9638888888888889
IF set: {'39', '86', '36'}  THEN set: {'14'}  CONFIDENCE: 0.9747191011235955
IF set: {'60', '86', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'92', '86', '38'}  THEN set: {'60'}  CONFIDENCE: 0.9447983014861996
IF set: {'60', '86', '38', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '86', '38', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9447983014861996
IF set: {'60', '86', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '86', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '86', '23'}  THEN set: {'39'}  CONFIDENCE: 0.9635854341736695
IF set: {'48', '39', '23'}  THEN set: {'86'}  CONFIDENCE: 0.9635854341736695
IF set: {'60', '48', '86'}  THEN set: {'92'}  CONFIDENCE: 0.8621553884711779
IF set: {'60', '48', '92'}  THEN set: {'86'}  CONFIDENCE: 0.694949494949495
IF set: {'48', '86', '38'}  THEN set: {'92'}  CONFIDENCE: 0.8561484918793504
IF set: {'48', '86', '38', '14'}  THEN set: {'92'}  CONFIDENCE: 0.8561484918793504
IF set: {'92', '48', '86', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'92', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9485861182519281
IF set: {'60', '48', '86', '38'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '86'}  THEN set: {'48'}  CONFIDENCE: 0.6762589928057554
IF set: {'60', '39', '86', '38'}  THEN set: {'48'}  CONFIDENCE: 0.6762589928057554
IF set: {'39', '48', '86', '38'}  THEN set: {'60'}  CONFIDENCE: 0.928395061728395
IF set: {'60', '48', '86', '39'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'39', '86', '38'}  THEN set: {'48'}  CONFIDENCE: 0.6852791878172588
IF set: {'92', '39', '86', '38'}  THEN set: {'48'}  CONFIDENCE: 0.7834394904458599
IF set: {'92', '39', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.790650406504065
IF set: {'60', '39', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6762589928057554
IF set: {'48', '38', '60', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 0.9423558897243107
IF set: {'48', '38', '60', '39', '14'}  THEN set: {'86'}  CONFIDENCE: 0.7595959595959596
IF set: {'38', '60', '39', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6762589928057554
IF set: {'48', '38', '60', '39', '86'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '38', '39', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.928395061728395
IF set: {'48', '60', '39', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'39', '86', '38', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6852791878172588
IF set: {'60', '86', '38', '14'}  THEN set: {'39'}  CONFIDENCE: 0.7954220314735336
IF set: {'60', '39', '38', '14'}  THEN set: {'86'}  CONFIDENCE: 0.6642771804062126
IF set: {'60', '39', '38', '92'}  THEN set: {'86'}  CONFIDENCE: 0.6742424242424242
IF set: {'60', '39', '86', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '14', '92'}  THEN set: {'86'}  CONFIDENCE: 0.6742424242424242
IF set: {'35'}  THEN set: {'18'}  CONFIDENCE: 0.6782006920415224
IF set: {'0'}  THEN set: {'105'}  CONFIDENCE: 0.6539792387543253
IF set: {'77', '36'}  THEN set: {'5'}  CONFIDENCE: 0.7368421052631579
IF set: {'77', '5'}  THEN set: {'36'}  CONFIDENCE: 1.064327485380117
